"FishNb","ExpID","ExpLength","Fps","BL1","BL2","BL3","BL4","BL5","BL6","BL7","BL8","BL9","BL10"
4,"exp04H20150901_12h48",62.9553333333333,50,38.46237,39.42738,39.56125,31.5721,NA,NA,NA,NA,NA,NA
4,"exp04H20150903_13h00",81.2033333333333,50,38.13618,32.10163,40.14858,35.08243,NA,NA,NA,NA,NA,NA
4,"exp04H20150904_13h06",64.1216666666667,50,32.65975,39.64222,32.04698,39.43102,NA,NA,NA,NA,NA,NA
4,"exp04H20150905_13h47",72.1553333333333,50,37.94443,39.98874,34.92023,38.13213,NA,NA,NA,NA,NA,NA
4,"exp04H20150905_15h25",64.8833333333333,50,38.3454,38.08073,36.36129,37.73784,NA,NA,NA,NA,NA,NA
5,"exp05H20140926_10h50",54.2763333333333,50,31.55549,31.55549,31.55549,31.55549,31.55549,NA,NA,NA,NA,NA
5,"exp05H20141001_10h05",50.6363333333333,50,32.02189,32.02189,32.02189,32.02189,32.02189,NA,NA,NA,NA,NA
5,"exp05H20141003_15h00",63.1403333333333,50,32.78089,32.78089,32.78089,32.78089,32.78089,NA,NA,NA,NA,NA
5,"exp05H20141008_15h30",52.2843333333333,50,35.78304,28.28672,30.45437,28.53883,29.73496,NA,NA,NA,NA,NA
5,"exp05H20141010_10h38",53.9643333333333,50,28.42147,35.12326,32.92972,29.19092,29.83144,NA,NA,NA,NA,NA
5,"exp05H20141015_12h50",53.7643333333333,50,29.37159,34.79106,31.02028,33.37592,28.56134,NA,NA,NA,NA,NA
5,"exp05H20141022_11h45",53.5243333333333,50,29.24133,30.2976,31.74108,30.46716,36.14555,NA,NA,NA,NA,NA
5,"exp05H20141023_16h20",52.3323333333333,50,29.9306,33.57215,30.05928,35.36093,34.78597,NA,NA,NA,NA,NA
5,"exp05H20141029_14h20",52.4603333333333,50,28.84167,31.13711,29.27104,33.75926,29.49912,NA,NA,NA,NA,NA
5,"exp05H20141030_11h15",56.8683333333333,50,30.22455,30.55813,32.26797,26.8432,31.43337,NA,NA,NA,NA,NA
8,"exp08H20150821_11h04",65.1393333333333,50,32.22781,39.42859,40.53503,39.29649,25.99598,30.50873,36.18224,39.31155,NA,NA
8,"exp08H20150821_12h34",66.9313333333333,50,41.66464,32.0177,29.17269,32.65272,40.3949,41.29486,37.93423,38.11615,NA,NA
8,"exp08H20150821_14h04",69.9793333333333,50,41.16345,32.11899,33.15512,38.8216,33.46595,30.58146,38.93991,36.17412,NA,NA
8,"exp08H20150830_11h52",63.0833333333333,50,41.35486,42.28118,40.52672,31.00171,28.91401,36.95921,40.06439,39.98463,NA,NA
8,"exp08H20150830_13h18",69.4113333333333,50,33.17723,32.93569,37.43133,41.9675,40.27707,37.0153,40.9366,32.84275,NA,NA
8,"exp08H20150901_14h10",69.7793333333333,50,40.66601,35.28364,40.14039,38.22961,37.89816,32.76466,30.5108,29.09357,NA,NA
8,"exp08H20150902_11h41",65.0113333333333,50,39.97858,32.81418,35.42389,28.70897,26.52119,30.78601,38.34291,25.88839,NA,NA
8,"exp08H20150903_11h28",67.4593333333333,50,25.98485,41.35787,39.52132,37.74393,30.75181,37.25284,35.21848,40.13992,NA,NA
8,"exp08H20150904_11h40",65.5633333333333,50,25.79976,40.11763,39.18873,39.93126,33.14534,39.32468,39.79175,35.40124,NA,NA
10,"exp10H20141017_11h00",49.8683333333333,50,29.81029,30.54544,32.98999,29.12561,29.32834,33.86441,30.57449,28.88542,31.34699,29.4232
10,"exp10H20141021_13h10iso",52.7323333333333,50,31.83163,33.9461,35.32836,34.28934,27.87367,31.71548,26.68815,29.99591,38.93922,29.05358
10,"exp10H20141023_13h05",52.4043333333333,50,29.22796,37.01538,28.95628,31.2503,29.82198,35.66911,34.77504,30.73357,34.39648,39.48974
10,"exp10H20141024_11h30",49.2843333333333,50,29.42634,28.66353,31.42816,29.21939,31.45463,30.1471,32.36394,33.32028,28.42724,30.64936
10,"exp10H20141028_9h50",54.0843333333333,50,28.25619,32.88622,31.04152,29.59246,35.66645,31.77261,29.65813,28.72975,31.2325,31.76951
10,"exp10H20141029_14h20",54.6683333333333,50,31.12854,34.2602,35.65934,33.16744,29.1655,31.24648,29.42313,27.72281,29.39429,28.88715
10,"exp10H20141031_13h15",61.1323333333333,50,32.74224,29.17733,26.61272,31.16896,29.16489,28.66633,33.94947,33.39615,35.96767,30.99278
10,"exp10H20141031_15h00",51.5403333333333,50,30.32345,30.15442,33.73425,28.26426,31.341,30.14925,27.95052,28.22079,27.50348,34.29053
10,"exp10H20150901_11h21",68.9393333333333,50,41.00449,40.53252,26.35102,32.78653,34.52217,40.60559,36.26268,30.18068,42.39149,37.83484
10,"exp10H20150902_13h05",65.4113333333333,50,31.26428,32.28887,40.37876,41.12325,41.92404,40.23956,38.34725,32.20507,33.1192,38.65598
10,"exp10H20150902_14h28",77.3713333333333,50,33.68466,39.02019,39.7348,39.26422,40.44349,41.33679,32.01697,41.51118,32.56631,36.66849
10,"exp10H20150903_14h45",66.1153333333333,50,40.20299,42.6572,38.9206,30.55292,38.73667,39.38448,32.35448,40.58979,29.25262,38.42666
10,"exp10H20150904_14h36",67.1553333333333,50,33.37493,31.34654,40.95281,32.25673,30.81652,41.21816,41.42776,32.82068,37.07607,29.15319
10,"exp10H20150905_11h53",61.7713333333333,50,36.98512,40.19329,32.44967,41.20634,32.09256,26.54434,25.99945,30.06958,39.46585,38.76218
